X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-8922257.18708088,5490236.03003578,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Pine River Reservoir (Unofficial Name),17-5673-48906,MULMUR,Yearlings,2576,44.16,-80.15,88
-8922257.18708088,5490236.03003578,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Pine River Reservoir (Unofficial Name),17-5673-48906,MULMUR,Yearlings,2413,44.16,-80.15,89
-8995728.05100444,5493339.98341415,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Durham Town Pond (Unofficial Name),17-5149-48917,GLENELG,Yearlings,1252,44.18,-80.81,90
-8875503.0009477,5425294.3498267,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,1012,43.74,-79.73,91
-8806484.91665587,5480930.47749909,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Elgin Pond (Unofficial Name),17-6506-48848,UXBRIDGE,Yearlings,530,44.1,-79.11,92
-8946747.4750554,5518209.61353122,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Feversham Town Pond (Unofficial Name),17-5500-49097,OSPREY,Yearlings,1258,44.34,-80.37,93
-9061406.55057247,5532228.60953213,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Port Elgin Town Pond (Unofficial Name),17-4671-49204,SAUGEEN,Yearlings,500,44.43,-81.4,94
-8986822.49174098,5515097.20477815,Aurora Midhurst Owen Sound District,2024,Brook Trout,Bells Lake,lac Bells,,17-5209-49075,GLENELG,Yearlings,2472,44.32,-80.73,95
-8986822.49174098,5515097.20477815,Aurora Midhurst Owen Sound District,2024,Brook Trout,Bells Lake,lac Bells,,17-5209-49075,GLENELG,Yearlings,2526,44.32,-80.73,96
-8843220.34861765,5454615.90464376,Aurora Midhurst Owen Sound District,2024,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1036,43.93,-79.44,97
-8858805.07732871,5394529.90283298,Aurora Midhurst Owen Sound District,2024,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1159,43.54,-79.58,98
-8858805.07732871,5394529.90283298,Aurora Midhurst Owen Sound District,2024,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1177,43.54,-79.58,99
-8858805.07732871,5394529.90283298,Aurora Midhurst Owen Sound District,2024,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1170,43.54,-79.58,100
-8966784.98339819,5504212.12046413,Aurora Midhurst Owen Sound District,2024,Brook Trout,Flesherton Community Pond,étang de la communauté de Flesherton,,17-5355-49005,ARTEMESIA,Yearlings,1250,44.25,-80.55,101
-8681807.0869674,5695819.35479329,Bancroft District,2015,Brook Trout,,,Green Lake (Unofficial Name),18-2662-50399,LYELL,Yearlings,1500,45.47,-77.99,102
-8556016.06237101,5635701.28976242,Bancroft District,2015,Brook Trout,,,Evelyn Lake (Unofficial Name),18-3535-49948,SOUTH CANONTO,Yearlings,700,45.09,-76.86,103
-8764183.51015443,5649903.45464165,Bancroft District,2015,Brook Trout,,,Rabbit Lake (Unofficial Name),17-6778-50060,SHERBORNE,Yearlings,500,45.18,-78.73,104
-8778655.04395755,5646745.48013483,Bancroft District,2015,Brook Trout,,,Lost Lake (Unofficial Name),17-6675-50038,RIDOUT,Yearlings,400,45.16,-78.86,105
-8700731.40040226,5607363.93874804,Bancroft District,2015,Brook Trout,,,Little Echo Lake (Unofficial Name),17-7235-49771,MONMOUTH,Yearlings,300,44.91,-78.16,106
-8778655.04395755,5605792.24720735,Bancroft District,2015,Brook Trout,,,Little Otter Lake (Unofficial Name),17-6682-49742,ANSON,Yearlings,900,44.9,-78.86,107
-8671788.33279601,5719661.66994027,Bancroft District,2015,Brook Trout,,,Paradise Lake (Unofficial Name),18-2733-50561,DICKENS,Yearlings,450,45.62,-77.9,108
-8655090.40917702,5583817.20063088,Bancroft District,2015,Brook Trout,,,Little Cedar Lake (Unofficial Name),18-2822-49598,LAKE,Yearlings,250,44.76,-77.75,109
-8669561.94298015,5624670.62658942,Bancroft District,2015,Brook Trout,,,Burnt Lake (Unofficial Name),18-2726-49898,FARADAY,Yearlings,450,45.02,-77.88,110
-8697391.81567846,5629396.40045314,Bancroft District,2015,Brook Trout,,,Long Lake (Unofficial Name),17-7252-49929,CARDIFF,Yearlings,1400,45.05,-78.13,111
-8646184.84991356,5630972.20918911,Bancroft District,2015,Brook Trout,,,Rock Lake (Unofficial Name),18-2893-49933,DUNGANNON,Yearlings,400,45.06,-77.67,112
-8736353.63745611,5602649.68397995,Bancroft District,2015,Brook Trout,,,Burnt River (Unofficial Name),17-6984-49725,GLAMORGAN,Yearlings,1000,44.88,-78.48,113
-8638392.48555803,5630972.20918911,Bancroft District,2015,Brook Trout,,,Cherrytree Lake (Unofficial Name),18-2948-49938,MAYO,Yearlings,200,45.06,-77.6,114
-8781994.62868135,5612080.65479429,Bancroft District,2015,Brook Trout,,,Doe Lake (Unofficial Name),17-6658-49783,ANSON,Yearlings,1900,44.94,-78.89,115
-8679580.69715154,5702171.08889624,Bancroft District,2015,Brook Trout,,,Trout Lake (Unofficial Name),18-2676-50444,MURCHISON,Yearlings,550,45.51,-77.97,116
-8680693.89205947,5689472.12679293,Bancroft District,2015,Brook Trout,,,Lake On The Hill (Unofficial Name),18-2665-50350,LYELL,Yearlings,2000,45.43,-77.98,117
-8701844.59531019,5618373.44486032,Bancroft District,2015,Brook Trout,Adams Lake,lac Adams,,17-7228-49850,CARDIFF,Yearlings,1035,44.98,-78.17,118
-8632826.51101837,5621521.48619207,Bancroft District,2015,Brook Trout,Aide Lake,lac Aide,,18-2987-49870,CASHEL,Yearlings,1500,45,-77.55,119
-8678467.50224361,5627820.86720405,Bancroft District,2015,Brook Trout,Baumheur Lake,lac Baumheur,,18-2665-49921,FARADAY,Yearlings,950,45.04,-77.96,120
-8759730.7305227,5649903.45464165,Bancroft District,2015,Brook Trout,Blackcat Lake,lac Blackcat,,17-6809-50057,SHERBORNE,Yearlings,600,45.18,-78.69,121
-8592751.49433279,5604220.82899895,Bancroft District,2015,Brook Trout,Bon Echo Creek,ruisseau Bon Écho,,18-3263-49740,BARRIE,Yearlings,500,44.89,-77.19,122
-8747485.58653544,5648324.32877549,Bancroft District,2015,Brook Trout,Burdock Lake,lac Burdock,,17-6896-50047,GUILFORD,Yearlings,800,45.17,-78.58,123
-8559355.6470948,5629396.40045314,Bancroft District,2015,Brook Trout,Butternut Lake,lac Butternut,,18-3508-49904,SOUTH CANONTO,Yearlings,800,45.05,-76.89,124
-8757504.34070683,5648324.32877549,Bancroft District,2015,Brook Trout,Cat Lake,lac Cat,,17-6823-50050,STANHOPE,Yearlings,3900,45.17,-78.67,125
-8656203.60408495,5616799.83598455,Bancroft District,2015,Brook Trout,Cedar Lake,lac Cedar,,18-2820-49839,DUNGANNON,Yearlings,250,44.97,-77.76,126
-8567148.01145033,5642010.59611231,Bancroft District,2015,Brook Trout,Crag Lake,lac Crag,,18-3455-49995,MILLER,Yearlings,1400,45.13,-76.96,127
-8550450.08783134,5634124.65369923,Bancroft District,2015,Brook Trout,Cranberry Lake,lac Cranberry,,18-3572-49936,SOUTH CANONTO,Yearlings,900,45.08,-76.81,128
-8608336.22304384,5653062.5386325,Bancroft District,2015,Brook Trout,Crankshaw Lake,lac Crankshaw,,18-3165-50078,DENBIGH,Yearlings,2600,45.2,-77.33,129
-8562695.2318186,5618373.44486032,Bancroft District,2015,Brook Trout,Crooked Lake,lac Crooked,,18-3479-49834,CLARENDON,Yearlings,2000,44.98,-76.92,130
-8638392.48555803,5616799.83598455,Bancroft District,2015,Brook Trout,Currie Lake,lac Currie,,18-2942-49831,CASHEL,Yearlings,750,44.97,-77.6,131
-8698505.0105864,5626245.60929754,Bancroft District,2015,Brook Trout,Dixie Lake,lac Dixie,,17-7246-49909,CARDIFF,Yearlings,800,45.03,-78.14,132
-8639505.68046596,5618373.44486032,Bancroft District,2015,Brook Trout,East Tommy Lake,lac Tommy Est,,18-2940-49840,CASHEL,Yearlings,1100,44.98,-77.61,133
-8660656.38371668,5713297.49498224,Bancroft District,2015,Brook Trout,Finger Lake,lac Finger,,18-2816-50514,DICKENS,Yearlings,800,45.58,-77.8,134
-8665109.16334842,5706937.85231887,Bancroft District,2015,Brook Trout,Fish Lake,lac Fish,,18-2777-50469,DICKENS,Yearlings,1200,45.54,-77.84,135
-8653977.21426909,5582249.59411092,Bancroft District,2015,Brook Trout,Freen Lake,lac Freen,,18-2825-49594,LAKE,Yearlings,200,44.75,-77.74,136
-8567148.01145033,5640432.85492059,Bancroft District,2015,Brook Trout,Graham Lake,lac Graham,,18-3457-49980,MILLER,Yearlings,500,45.12,-76.96,137
-8602770.24850418,5635701.28976242,Bancroft District,2015,Brook Trout,Greggs Lake,lac Greggs,,18-3198-49957,DENBIGH,Yearlings,600,45.09,-77.28,138
-8701844.59531019,5624670.62658942,Bancroft District,2015,Brook Trout,Halls Lake,lac Halls,,17-7224-49896,CARDIFF,Yearlings,800,45.02,-78.17,139
-8691825.8411388,5621521.48619207,Bancroft District,2015,Brook Trout,Hardings Lake,lac Hardings,,17-7299-49875,CARDIFF,Yearlings,1000,45,-78.08,140
-8563808.42672654,5634124.65369923,Bancroft District,2015,Brook Trout,Hemlock Lake,lac Hemlock,,18-3478-49935,SOUTH CANONTO,Yearlings,700,45.08,-76.93,141
